"lat" "long" "freq" "location"
"5358" 59.71167 10.33516 1 2265
"5388" 59.72431 10.25808 1 2289
"3953" 59.16924 11.16475 1 1278
"4838" 59.51517 10.63452 1 1980
"4491" 59.31846 10.72805 1 1744
"2933" 59.03814 10.06356 1 373
"4619" 59.42483 10.46986 1 1841
"5122" 59.64375 10.39127 1 2155
"5232" 59.67727 10.55323 1 2190
"5444" 59.74955 10.58071 1 2336
"4979" 59.56957 10.61655 1 2092
"3512" 59.10956 9.642511 1 900
"5260" 59.6854 10.43106 1 2205
"3333" 59.0883 10.25601 1 742
"4026" 59.18197 10.46235 1 1342
"4399" 59.26791 10.74497 1 1666
"3200" 59.07193 10.47308 1 619
"4926" 59.54766 10.24916 1 2055
"3811" 59.14772 10.43727 1 1152
"5536" 59.81242 10.74362 1 2385
"4994" 59.58085 10.38936 1 2100
"3002" 59.04707 11.05787 1 436
"5783" 59.89172 10.63608 1 2563
"3281" 59.08211 9.643602 1 694
"2978" 59.04454 10.27332 1 414
"5335" 59.70298 10.56445 1 2248
"5598" 59.8386 10.51002 1 2416
"2521" 58.95567 9.619223 1 32
"4106" 59.19474 11.07395 1 1413
"5748" 59.88462 10.52411 1 2535
"2837" 59.0225 10.12692 1 283
"2869" 59.02799 10.9926 1 313
"3693" 59.12973 10.33019 1 1045
"2759" 59.00862 11.0681 1 212
"5085" 59.62879 10.43842 1 2144
"5376" 59.72 10.52032 1 2281
"3357" 59.09145 10.30933 1 763
"4113" 59.19607 11.14092 1 1420
"4098" 59.19388 10.32851 1 1406
"5137" 59.64778 10.60546 1 2157
"4321" 59.2443 10.4639 1 1599
"5274" 59.68995 10.34611 1 2215
"5391" 59.72689 10.3021 1 2291
"4749" 59.47428 10.68558 1 1926
"2772" 59.01061 9.756339 1 222
"4608" 59.4172 10.60439 1 1830
"5804" 59.89892 10.68865 1 2580
"3565" 59.11585 10.85069 1 948
"3191" 59.07071 9.691349 1 610
"4284" 59.23196 10.68393 1 1566
"3802" 59.14682 10.98348 1 1144
"5704" 59.87422 10.603 1 2500
"3488" 59.10693 10.4174 1 881
"4518" 59.32812 10.49615 1 1768
"2595" 58.97408 9.885645 1 85
"4835" 59.51376 10.67915 1 1978
"3162" 59.06733 10.2535 1 583
"4154" 59.20408 10.45762 1 1457
"5678" 59.86674 10.54646 1 2480
"4574" 59.37778 10.46816 1 1809
"3403" 59.09724 10.91702 1 805
"4958" 59.56185 10.42964 1 2079
"2641" 58.98555 9.682423 1 116
"3400" 59.09698 10.78228 1 802
"5515" 59.80302 10.50417 1 2377
"3925" 59.16572 10.91066 1 1254
"3691" 59.12968 11.17378 1 1043
"5659" 59.86129 10.75094 1 2462
"3723" 59.13422 11.04977 1 1072
"4867" 59.52601 10.2812 1 2004
"3726" 59.1346 10.28474 1 1075
"3061" 59.05497 10.96094 1 491
"5438" 59.74659 10.24677 1 2330
"3983" 59.17375 10.85768 1 1305
"3252" 59.07786 10.39104 1 666
"4944" 59.55594 10.65075 1 2070
"4591" 59.39237 10.51937 1 1821
"3261" 59.07914 10.96576 1 674
"2797" 59.0147 9.848724 1 246
"2840" 59.02292 10.20675 1 286
"5464" 59.76346 10.49765 1 2352
"4509" 59.32357 10.64174 1 1761
"2882" 59.02924 9.802019 1 326
"5311" 59.69719 10.60396 1 2236
"2668" 58.98978 10.05615 1 132
"3859" 59.15596 11.10839 1 1195
"2281" 58.88637 9.612186 1 8
"3611" 59.12076 11.13536 1 984
"4162" 59.20517 10.89664 1 1464
"3195" 59.07163 10.85123 1 614
"5044" 59.60819 10.64892 1 2122
"3906" 59.1625 10.38131 1 1238
"5814" 59.90163 10.60468 1 2588
"3194" 59.07127 11.03659 1 613
"3516" 59.10991 10.26077 1 904
"2873" 59.02845 11.07985 1 317
"4854" 59.52167 10.31753 1 1992
"4231" 59.21823 10.75346 1 1524
"3057" 59.05412 9.759806 1 487
"4593" 59.39509 10.64742 1 1823
"3380" 59.09415 10.22136 1 785
"4450" 59.30051 10.65982 1 1707
"5510" 59.80047 10.70444 1 2373
"5176" 59.66305 10.58457 1 2170
"5174" 59.66287 10.62547 1 2168
"4390" 59.2647 10.40417 1 1658
"4461" 59.30643 10.77497 1 1717
"5629" 59.85346 10.65052 1 2438
"5468" 59.7672 10.73448 1 2355
"3922" 59.16503 10.98526 1 1251
"2571" 58.96999 9.99305 1 64
"4897" 59.53314 10.3827 1 2031
"5009" 59.58741 10.61603 1 2105
"2948" 59.04015 10.89141 1 387
"3704" 59.1312 10.41719 1 1055
"3296" 59.08433 9.715606 1 709
"5370" 59.7162 10.36907 1 2277
"2528" 58.9613 9.677996 1 37
"3942" 59.16786 10.79874 1 1268
"4311" 59.24041 10.43029 1 1589
"2807" 59.01748 10.06948 1 255
"3681" 59.12775 11.21983 1 1036
"3138" 59.06453 10.43146 1 560
"3014" 59.04892 10.92696 1 447
"3511" 59.10951 9.716725 1 899
"5792" 59.89405 10.75346 1 2572
"2878" 59.02889 9.726353 1 322
"5837" 59.91686 10.69105 1 2603
"3485" 59.10622 10.45332 1 878
"4962" 59.56247 10.26635 1 2080
"3842" 59.15312 11.17622 1 1178
"4233" 59.21889 10.33872 1 1526
"4097" 59.19356 10.36333 1 1405
"4135" 59.20005 10.7672 1 1440
"3917" 59.1641 10.45815 1 1247
"5654" 59.85995 10.78452 1 2459
"4846" 59.51888 10.45456 1 1984
"4267" 59.22692 10.37568 1 1553
"3318" 59.0865 11.05265 1 729
"5040" 59.60699 10.44121 1 2120
"5375" 59.71966 10.55349 1 2280
"3872" 59.1572 10.33851 1 1207
"4522" 59.33025 10.75124 1 1771
"3402" 59.09716 10.38155 1 804
"3684" 59.12789 10.36294 1 1038
"3663" 59.12658 10.91841 1 1020
"3927" 59.16598 11.01788 1 1255
"3323" 59.08694 10.45797 1 733
"3071" 59.05579 10.23058 1 498
"3664" 59.12659 10.24131 1 1021
"4785" 59.48956 10.32261 1 1946
"4635" 59.43336 10.4972 1 1854
"4683" 59.44876 10.61612 1 1893
"3148" 59.06567 9.629255 1 570
"2718" 59.00215 11.0393 1 178
"4607" 59.41702 10.4977 1 1829
"4407" 59.2709 10.49188 1 1673
"4001" 59.17702 10.49221 1 1319
"3054" 59.05394 9.679514 1 484
"4638" 59.43493 10.65305 1 1856
"4724" 59.46509 10.65971 1 1914
"5083" 59.62821 10.4069 1 2143
"2859" 59.02619 10.09533 1 303
"4014" 59.17949 11.18845 1 1331
"3434" 59.10048 10.8583 1 833
"2969" 59.04388 9.736047 1 406
"4652" 59.43967 10.45923 1 1866
"2753" 59.00807 10.13915 1 206
"2965" 59.04365 10.98949 1 402
"4018" 59.18006 10.96782 1 1335
"3761" 59.1411 10.49575 1 1106
"4696" 59.45342 10.44424 1 1904
"4207" 59.21376 10.56229 1 1504
"2932" 59.03806 10.17284 1 372
"2879" 59.02893 10.01906 1 323
"3521" 59.11019 10.93798 1 908
"5626" 59.85172 10.53826 1 2436
"5550" 59.82064 10.61898 1 2390
"4028" 59.18201 10.52716 1 1344
"5506" 59.79476 10.73276 1 2370
"3780" 59.14394 10.9403 1 1122
"3126" 59.06277 10.90202 1 550
"4343" 59.24952 10.73557 1 1618
"4713" 59.46069 10.35685 1 1910
"3418" 59.09894 10.28341 1 819
"4923" 59.54675 10.41924 1 2053
"5576" 59.82846 10.76111 1 2401
"5078" 59.62664 10.60651 1 2141
"4530" 59.33423 10.71808 1 1775
"5281" 59.69161 10.31648 1 2219
"2696" 58.9966 9.772792 1 157
"4042" 59.18396 11.15816 1 1355
"5420" 59.73879 10.72605 1 2315
"4008" 59.17842 10.3922 1 1326
"3058" 59.05427 10.16527 1 488
"3389" 59.09548 11.19987 1 792
"4558" 59.36196 10.6713 1 1797
"4454" 59.3041 10.72126 1 1711
"4069" 59.18849 10.85792 1 1381
"4875" 59.52746 10.68983 1 2010
"5592" 59.83582 10.46926 1 2411
"3102" 59.05984 10.52498 1 527
"2709" 58.99967 9.730276 1 169
"3201" 59.07194 9.786339 1 620
"3295" 59.08431 10.93032 1 708
"4179" 59.20879 10.93864 1 1479
"4339" 59.2481 10.76948 1 1615
"3627" 59.12232 9.604227 1 999
"4688" 59.45006 10.40073 1 1898
"3746" 59.13792 11.10333 1 1093
"5790" 59.89371 10.71537 1 2570
"3087" 59.05784 11.07639 1 512
"2678" 58.99209 9.803012 1 142
"4367" 59.2588 10.37341 1 1638
"5114" 59.64228 10.42894 1 2153
"4270" 59.22803 10.72965 1 1555
"4149" 59.20277 10.801 1 1452
"2625" 58.98144 9.842269 1 106
"4455" 59.3041 10.68996 1 1712
"4031" 59.18233 10.8158 1 1347
"3266" 59.07978 10.27867 1 679
"4156" 59.20445 10.48966 1 1459
"2811" 59.01788 11.01429 1 259
"4237" 59.21985 10.50811 1 1530
"2918" 59.03548 11.1066 1 361
"4529" 59.33382 10.66318 1 1774
"4446" 59.29446 10.52109 1 1703
"5027" 59.5976 10.4043 1 2115
"3768" 59.14215 10.34231 1 1112
"5357" 59.71152 10.60003 1 2264
"5621" 59.85001 10.49395 1 2431
"4876" 59.52777 10.5131 1 2011
"2669" 58.98983 9.708995 1 133
"4577" 59.37872 10.51364 1 1811
"2572" 58.97028 9.911335 1 65
"5138" 59.64816 10.6337 1 2158
"5269" 59.68848 10.6247 1 2212
"4891" 59.53215 10.33435 1 2025
"3075" 59.05605 10.29925 1 502
"2722" 59.00251 10.04022 1 182
"2493" 58.94064 9.624826 1 23
"5346" 59.70666 10.53672 1 2254
"4480" 59.31516 10.75353 1 1735
"2782" 59.0121 11.09324 1 231
"2919" 59.03574 10.12367 1 362
"3883" 59.15933 11.14741 1 1218
"4155" 59.20429 10.34466 1 1458
"2704" 58.99825 11.08425 1 164
"3391" 59.0959 11.0332 1 794
"3173" 59.06871 10.98165 1 593
"4782" 59.48839 10.64152 1 1944
"5653" 59.85989 10.67659 1 2458
"3063" 59.05522 9.704891 1 493
"2993" 59.04637 9.801607 1 429
"5359" 59.71211 10.26734 1 2266
"4425" 59.2805 10.73821 1 1689
"2556" 58.96715 9.839514 1 53
"2985" 59.04536 10.04255 1 421
"5466" 59.76488 10.58583 1 2354
"4976" 59.56812 10.40729 1 2089
"2606" 58.97694 9.702925 1 92
"5246" 59.68265 10.52998 1 2199
"2801" 59.016 9.818468 1 250
"2663" 58.98923 9.658507 1 128
"5278" 59.6915 10.40725 1 2218
"4022" 59.18106 10.3294 1 1339
"4075" 59.18941 10.98491 1 1386
"5817" 59.90446 10.63863 1 2591
"4365" 59.25791 10.47717 1 1636
"5718" 59.87653 10.50443 1 2511
"5070" 59.62095 10.6482 1 2137
"2842" 59.02304 9.780374 1 288
"3449" 59.10248 10.24057 1 847
"3564" 59.11523 10.47086 1 947
"3846" 59.15363 10.36365 1 1182
"5415" 59.73714 10.58583 1 2311
"4817" 59.50264 10.36047 1 1965
"4938" 59.55204 10.28042 1 2064
"3618" 59.12172 9.648922 1 991
"3111" 59.06097 10.27457 1 535
