"lat" "long" "freq"
"1" 57.960521941159 7.56428769993562 1
"2" 57.961510572085 7.56841602347892 1
"3" 57.9626649189261 7.56155870135755 1
"4" 57.9633439948256 7.55967563565934 1
"5" 57.9637641098335 7.52960943990353 1
"6" 57.9639147044844 7.55327366038706 1
"7" 57.9645848651812 7.54892729384384 1
"8" 57.9649712074407 7.52500884874875 1
"10" 57.9659502909821 7.55339974797987 1
"11" 57.9661686412654 7.49394986255625 1
"12" 57.9668163608839 7.50018456982287 1
"13" 57.967142369375 7.56569608171123 1
"14" 57.9678298788528 7.48776422580466 1
"15" 57.9680962117668 7.55841463535066 1
"17" 57.9684544204123 7.5287438162234 1
"18" 57.9689082890632 7.54798840752119 1
"19" 57.9692781414723 7.55650393036259 1
"21" 57.9700231685243 7.5636222835347 1
"22" 57.9711989554413 7.60633336228877 1
"23" 57.9716091214315 7.50028267750818 1
"24" 57.9719319661554 7.48927694600346 1
"26" 57.972526484871 7.61380244692052 1
"28" 57.9734848779821 7.55212617872232 1
"29" 57.9738670263886 7.5294536952132 1
"30" 57.9746314469509 7.51976380019872 1
"31" 57.9754214898701 7.6057735824142 1
"32" 57.975763338197 7.60062420636696 1
"33" 57.9759844681918 7.6142665949419 1
"34" 57.9760201534399 7.53151844763846 1
"35" 57.9768568666857 7.51928068454672 1
"36" 57.9778428975504 7.55186779404291 1
"37" 57.9779371075466 7.53894439945776 1
"38" 57.9780739330503 7.61151458303771 1
"39" 57.9782707575966 7.51148299231204 1
"40" 57.9783121233026 7.5266637357149 1
"41" 57.9790365729237 7.53190902807682 1
"42" 57.9794190221354 7.56042409358522 1
"43" 57.9798929755745 7.52228100682365 1
"46" 57.9811239367214 7.5425252579272 1
"47" 57.9812763151771 7.50818763535437 1
"48" 57.9813203865917 7.59360018378802 1
"49" 57.9815357878432 7.57729020912749 1
"50" 57.9825023332071 7.60037475921417 1
"51" 57.9827947378528 7.54028822729617 1
"52" 57.9831445231321 7.53204580478775 1
"53" 57.9846271136005 7.56887360082003 1
"54" 57.9848166387728 7.5975762530538 1
"55" 57.9858218854231 7.53306927434727 1
"56" 57.9860404477783 7.58088506133215 1
"57" 57.986238673911 7.59068846645775 1
"58" 57.9862736765723 7.50488057523684 1
"59" 57.9872618483977 7.51273672079428 1
"60" 57.9873914310887 7.56558164879078 1
"61" 57.9876039954543 7.34364736731853 1
"62" 57.9876900631416 7.57046562569373 1
"64" 57.9882340908113 7.54405866864765 1
"65" 57.9888840810748 7.33997704258982 1
"66" 57.9890782860329 7.59013979140568 1
"67" 57.9891145029315 7.49121157790129 1
"68" 57.9891942557957 7.60202421732431 1
"69" 57.9893820973542 7.53633323833372 1
"70" 57.9897797260693 7.54422648603401 1
"71" 57.9898182432572 7.55958220232627 1
"72" 57.9900875770281 7.53379516737844 1
"73" 57.9905921356444 7.34845088368279 1
"74" 57.990829746586 7.50614753677648 1
"75" 57.9909408585536 7.5661048319097 1
"76" 57.9911502443803 7.38364544691261 1
"77" 57.9912486323849 7.58191014289115 1
"78" 57.9913409236568 7.497126575322 1
"79" 57.991444514632 7.55060157453438 1
"80" 57.991849615408 7.54191912065338 1
"83" 57.9921415636926 7.59950293538926 1
"84" 57.9923086938526 7.49398593116607 1
"85" 57.9924501591675 7.57292083045315 1
"86" 57.9932021534433 7.56225000218091 1
"87" 57.993275771841 7.48400249643606 1
"88" 57.9936057733425 7.34441173868797 1
"89" 57.9940671961544 7.3709995404419 1
"90" 57.9942824390819 7.37693424298188 1
"91" 57.9944891518468 7.38323811282165 1
"92" 57.9947414189039 7.56787665270441 1
"93" 57.994748102636 7.59128636777752 1
"94" 57.9949393265159 7.33212918441855 1
"95" 57.9952088363374 7.56865112996235 1
"96" 57.9955377538352 7.6595112600359 1
"97" 57.995660771564 7.54068190279847 1
"99" 57.9963544730785 7.34842424834582 1
"100" 57.9966028059303 7.57147898825796 1
"101" 57.9967243296044 7.57391788665127 1
"102" 57.9970256856391 7.55744203650734 1
"103" 57.9970642364089 7.6647089095576 1
"104" 57.9974095650063 7.58219572485438 1
"105" 57.9974431507841 7.5387193232691 1
"106" 57.9975408043776 7.65654153718168 1
"108" 57.9978574310723 7.36612626866389 1
